"","eptcov","eptint","mainuptake","persuptake","instuptake","mainongprov","mainendprov","persongprov","persendprov","instprov","gctxsuccess","cttxsuccess","gc.incid","gc.pia","eptdoses_uptake_gc","gc.nia","gc.nnt","gc.timesInf"
"1",0,9,0,0,0,0,0,0,0,0,1,1,"3.94 (2.24 - 5.36)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0.76 (0.57 - 0.97)"
"2",0.1,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"2.38 (1.26 - 3.74)","0.22 (-0.11 - 0.46)","190 (136 - 235)","1606 (-910 - 4490)","0.05 (-0.11 - 0.14)","0.62 (0.45 - 0.77)"
"3",0.2,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1.81 (0.9 - 2.76)","0.31 (-0.06 - 0.48)","301 (214 - 383)","2551 (-396 - 4716)","0.1 (-0.2 - 0.2)","0.55 (0.4 - 0.7)"
"4",0.3,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1.26 (0.52 - 2.08)","0.4 (0.16 - 0.6)","363 (260 - 459)","3209 (892 - 5730)","0.12 (0.06 - 0.28)","0.46 (0.34 - 0.6)"
"5",0.4,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1.05 (0.42 - 1.85)","0.45 (0.17 - 0.63)","428 (316 - 530)","3560 (909 - 6205)","0.16 (0.07 - 0.32)","0.43 (0.33 - 0.54)"
"6",0.5,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"0.73 (0.27 - 1.56)","0.49 (0.3 - 0.64)","440 (349 - 571)","3884 (1799 - 6329)","0.2 (0.1 - 0.37)","0.39 (0.31 - 0.5)"
"7",0.6,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"0.63 (0.16 - 1.34)","0.56 (0.3 - 0.68)","465 (358 - 606)","4304 (1800 - 6688)","0.2 (0.11 - 0.4)","0.36 (0.27 - 0.46)"
"8",0.7,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"0.63 (0.2 - 1.36)","0.54 (0.35 - 0.69)","536 (390 - 667)","4300 (2073 - 6584)","0.23 (0.13 - 0.47)","0.37 (0.27 - 0.47)"
"9",0.8,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"0.48 (0.12 - 1.11)","0.58 (0.37 - 0.73)","546 (390 - 685)","4569 (2187 - 7240)","0.26 (0.13 - 0.56)","0.35 (0.24 - 0.44)"
"10",0.9,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"0.49 (0.08 - 1.18)","0.59 (0.39 - 0.71)","580 (434 - 730)","4404 (2229 - 7305)","0.26 (0.14 - 0.5)","0.34 (0.25 - 0.43)"
"11",1,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"0.53 (0.1 - 1.09)","0.55 (0.35 - 0.7)","636 (492 - 812)","4271 (2244 - 6974)","0.32 (0.17 - 0.69)","0.35 (0.27 - 0.45)"
"12",0.2,4,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1.7 (0.88 - 2.8)","0.29 (-0.04 - 0.54)","262 (196 - 331)","2238 (-252 - 5256)","0.08 (-0.22 - 0.21)","0.55 (0.42 - 0.67)"
"13",0.2,13,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1.54 (0.68 - 2.72)","0.31 (0.01 - 0.57)","315 (239 - 420)","2278 (44 - 5306)","0.08 (0.02 - 0.24)","0.52 (0.39 - 0.68)"
"14",0.2,17,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1.79 (0.81 - 3.07)","0.28 (-0.01 - 0.53)","356 (262 - 453)","2404 (-40 - 5350)","0.09 (-0.17 - 0.25)","0.55 (0.4 - 0.68)"
"15",0.2,22,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1.66 (0.9 - 2.68)","0.32 (-0.02 - 0.53)","386 (300 - 483)","2552 (-109 - 5274)","0.09 (-0.16 - 0.2)","0.54 (0.42 - 0.67)"
"16",0.2,26,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1.56 (0.77 - 2.52)","0.31 (0.03 - 0.54)","408 (300 - 512)","2469 (182 - 5391)","0.09 (0.02 - 0.24)","0.53 (0.39 - 0.66)"
"17",0.2,9,0.8,0.8,0.8,0.55,0.44,0.44,0.33,0.22,1,1,"1.51 (0.68 - 2.6)","0.34 (0.06 - 0.57)","310 (216 - 396)","2600 (455 - 5534)","0.09 (0.03 - 0.22)","0.5 (0.37 - 0.66)"
"18",0.2,9,0.8,0.8,0.8,0.6,0.48,0.48,0.36,0.24,1,1,"1.52 (0.71 - 2.42)","0.35 (0.07 - 0.59)","324 (246 - 407)","3052 (393 - 5659)","0.08 (0.03 - 0.2)","0.49 (0.39 - 0.62)"
"19",0.2,9,0.8,0.8,0.8,0.65,0.52,0.52,0.39,0.26,1,1,"1.2 (0.53 - 2.14)","0.4 (0.14 - 0.59)","340 (248 - 434)","3068 (847 - 5808)","0.08 (0.03 - 0.22)","0.48 (0.35 - 0.6)"
"20",0.2,9,0.8,0.8,0.8,0.7,0.56,0.56,0.42,0.28,1,1,"1.08 (0.46 - 2.13)","0.44 (0.21 - 0.61)","352 (255 - 444)","3563 (1310 - 6022)","0.08 (0.03 - 0.17)","0.45 (0.34 - 0.57)"
"21",0.2,9,0.8,0.8,0.8,0.75,0.6,0.6,0.45,0.3,1,1,"0.94 (0.44 - 1.84)","0.45 (0.15 - 0.63)","360 (261 - 463)","3722 (984 - 6239)","0.07 (0.03 - 0.15)","0.44 (0.33 - 0.55)"
"22",0.2,9,0.88,0.88,0.88,0.5,0.4,0.4,0.3,0.2,1,1,"1.52 (0.72 - 2.62)","0.35 (0.07 - 0.56)","306 (235 - 402)","2842 (379 - 5315)","0.08 (0.02 - 0.19)","0.51 (0.41 - 0.65)"
"23",0.2,9,0.96,0.96,0.96,0.5,0.4,0.4,0.3,0.2,1,1,"1.39 (0.59 - 2.43)","0.4 (0.07 - 0.58)","320 (249 - 416)","3209 (523 - 5817)","0.08 (0.03 - 0.17)","0.49 (0.37 - 0.64)"
