"","eptcov","eptint","mainuptake","persuptake","instuptake","mainongprov","mainendprov","persongprov","persendprov","instprov","gctxsuccess","cttxsuccess","eptpartelig","eptpartelig.step","eptdoses_index_gcct","eptdoses_rec_gcct","eptpropprov_main","eptpropprov_pers","eptpropprov_inst","eptuninfectedprovided","eptgcctinfecthiv","eptgcctinfecthiv_main","eptgcctinfecthiv_pers","eptgcctinfecthiv_inst","eptgcctinfectundiaghiv","eptgcctinfectundiaghiv_main","eptgcctinfectundiaghiv_pers","eptgcctinfectundiaghiv_inst"
"1",0,9,0,0,0,0,0,0,0,0,1,1,"0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","NA (NA - NA)","NA (NA - NA)","NA (NA - NA)","NA (NA - NA)","NA (NA - NA)","NA (NA - NA)","NA (NA - NA)","NA (NA - NA)","NA (NA - NA)","NA (NA - NA)","NA (NA - NA)","NA (NA - NA)"
"2",0.1,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"1859 (1601 - 2031)","3.58 (3.08 - 3.91)","832 (715 - 925)","596.5 (506.75 - 659)","0.48 (0.46 - 0.51)","0.38 (0.37 - 0.4)","0.2 (0.19 - 0.21)","0.55 (0.53 - 0.57)","0.17 (0.16 - 0.19)","0.18 (0.15 - 0.2)","0.18 (0.16 - 0.19)","0.17 (0.15 - 0.19)","0.04 (0.03 - 0.05)","0.05 (0.03 - 0.07)","0.04 (0.03 - 0.05)","0.03 (0.02 - 0.04)"
"3",0.2,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"3060 (2672 - 3412)","5.89 (5.14 - 6.56)","1471 (1278 - 1655)","985 (861.5 - 1108.5)","0.48 (0.46 - 0.5)","0.38 (0.37 - 0.39)","0.2 (0.19 - 0.21)","0.57 (0.56 - 0.58)","0.18 (0.17 - 0.18)","0.18 (0.16 - 0.2)","0.18 (0.16 - 0.19)","0.17 (0.15 - 0.18)","0.04 (0.04 - 0.05)","0.05 (0.04 - 0.07)","0.04 (0.03 - 0.05)","0.03 (0.02 - 0.04)"
"4",0.3,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"3976 (3452 - 4385)","7.65 (6.64 - 8.43)","1990 (1717 - 2200)","1261.5 (1099 - 1408.5)","0.49 (0.47 - 0.51)","0.38 (0.38 - 0.39)","0.2 (0.19 - 0.21)","0.58 (0.57 - 0.6)","0.17 (0.16 - 0.18)","0.17 (0.15 - 0.19)","0.17 (0.16 - 0.19)","0.17 (0.15 - 0.19)","0.04 (0.03 - 0.04)","0.05 (0.04 - 0.06)","0.04 (0.03 - 0.05)","0.03 (0.02 - 0.04)"
"5",0.4,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"4602 (4122 - 5172)","8.85 (7.93 - 9.95)","2406 (2152 - 2736)","1471 (1321 - 1651.75)","0.49 (0.47 - 0.5)","0.38 (0.37 - 0.39)","0.2 (0.19 - 0.21)","0.6 (0.59 - 0.61)","0.17 (0.16 - 0.18)","0.18 (0.16 - 0.2)","0.17 (0.16 - 0.18)","0.17 (0.15 - 0.19)","0.04 (0.03 - 0.04)","0.05 (0.04 - 0.06)","0.04 (0.03 - 0.04)","0.03 (0.02 - 0.04)"
"6",0.5,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"5126 (4628 - 5703)","9.86 (8.9 - 10.97)","2804 (2503 - 3159)","1646 (1471.75 - 1814.5)","0.48 (0.47 - 0.5)","0.38 (0.38 - 0.39)","0.2 (0.19 - 0.21)","0.61 (0.59 - 0.62)","0.17 (0.16 - 0.18)","0.18 (0.16 - 0.19)","0.17 (0.16 - 0.19)","0.17 (0.16 - 0.18)","0.04 (0.03 - 0.04)","0.05 (0.04 - 0.06)","0.04 (0.04 - 0.05)","0.03 (0.02 - 0.03)"
"7",0.6,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"5432 (4986 - 6096)","10.45 (9.59 - 11.72)","3056 (2806 - 3518)","1726 (1582.5 - 1954.75)","0.49 (0.47 - 0.5)","0.38 (0.38 - 0.39)","0.2 (0.19 - 0.21)","0.62 (0.61 - 0.63)","0.17 (0.16 - 0.18)","0.18 (0.16 - 0.2)","0.17 (0.16 - 0.18)","0.17 (0.15 - 0.18)","0.04 (0.03 - 0.04)","0.05 (0.04 - 0.06)","0.04 (0.03 - 0.05)","0.03 (0.02 - 0.03)"
"8",0.7,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"5899 (5434 - 6713)","11.34 (10.45 - 12.91)","3487 (3145 - 4020)","1886.5 (1712.75 - 2168.75)","0.49 (0.47 - 0.5)","0.38 (0.38 - 0.39)","0.2 (0.19 - 0.21)","0.63 (0.62 - 0.64)","0.17 (0.16 - 0.18)","0.18 (0.16 - 0.2)","0.17 (0.16 - 0.18)","0.17 (0.16 - 0.18)","0.04 (0.03 - 0.04)","0.05 (0.04 - 0.06)","0.04 (0.03 - 0.04)","0.03 (0.02 - 0.04)"
"9",0.8,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"6216 (5540 - 6904)","11.95 (10.65 - 13.28)","3772 (3294 - 4303)","1979 (1768.75 - 2223.75)","0.49 (0.47 - 0.5)","0.38 (0.38 - 0.39)","0.2 (0.19 - 0.21)","0.64 (0.63 - 0.65)","0.17 (0.16 - 0.18)","0.17 (0.16 - 0.19)","0.17 (0.16 - 0.18)","0.16 (0.15 - 0.18)","0.04 (0.03 - 0.04)","0.05 (0.04 - 0.06)","0.04 (0.03 - 0.04)","0.03 (0.02 - 0.03)"
"10",0.9,9,0.8,0.8,0.8,0.5,0.4,0.4,0.3,0.2,1,1,"6627 (5878 - 7346)","12.74 (11.3 - 14.13)","4164 (3636 - 4724)","2122 (1864.75 - 2378.5)","0.48 (0.47 - 0.5)","0.38 (0.38 - 0.39)","0.2 (0.19 - 0.21)","0.65 (0.64 - 0.66)","0.17 (0.16 - 0.18)","0.18 (0.16 - 0.19)","0.17 (0.16 - 0.18)","0.16 (0.15 - 0.18)","0.04 (0.03 - 0.04)","0.05 (0.04 - 0.06)","0.04 (0.03 - 0.04)","0.03 (0.02 - 0.03)"
