"","eptcov","eptint","mainuptake","persuptake","instuptake","mainongprov","mainendprov","persongprov","persendprov","instprov","gctxsuccess","cttxsuccess","ct.incid","ct.pia","eptdoses_uptake_ct","ct.nia","ct.nnt","ct.timesInf"
"1",0,9,0,0,0,0,0,0,0,0,1,1,"6.6 (5.66 - 7.53)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","1.34 (1.24 - 1.48)"
"2",0.1,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"6.27 (5.28 - 7.21)","0.04 (-0.09 - 0.14)","50 (43 - 56)","632 (-1206 - 2112)","0.12 (-0.29 - 0.31)","1.32 (1.2 - 1.43)"
"3",0.2,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"5.82 (5.03 - 6.88)","0.06 (-0.07 - 0.17)","90 (80 - 99)","856 (-999 - 2504)","0.23 (-0.53 - 0.61)","1.27 (1.16 - 1.41)"
"4",0.3,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"5.66 (4.81 - 6.47)","0.07 (-0.06 - 0.21)","126 (112 - 138)","1020 (-723 - 3116)","0.29 (-0.82 - 0.78)","1.26 (1.15 - 1.37)"
"5",0.4,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"5.59 (4.56 - 6.41)","0.08 (-0.04 - 0.22)","158 (143 - 173)","1104 (-529 - 3206)","0.44 (-1.14 - 1.08)","1.24 (1.14 - 1.37)"
"6",0.5,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"5.27 (4.36 - 6.44)","0.11 (-0.02 - 0.21)","183 (168 - 206)","1526 (-236 - 3224)","0.71 (-0.91 - 1.4)","1.21 (1.1 - 1.32)"
"7",0.6,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"5.19 (4.17 - 6.39)","0.13 (-0.01 - 0.24)","212 (184 - 235)","1860 (-179 - 3906)","0.67 (-0.99 - 1.45)","1.19 (1.06 - 1.35)"
"8",0.7,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"5.11 (4.3 - 5.96)","0.11 (0.01 - 0.25)","234 (217 - 254)","1588 (190 - 3442)","0.92 (0.36 - 2.35)","1.18 (1.08 - 1.29)"
"9",0.8,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"5.07 (4.19 - 5.96)","0.13 (-0.01 - 0.25)","260 (238 - 284)","1873 (-70 - 3778)","0.9 (-1 - 1.95)","1.19 (1.09 - 1.31)"
"10",0.9,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"4.8 (4.01 - 5.66)","0.15 (0.02 - 0.28)","275 (251 - 305)","2180 (202 - 4130)","1.02 (0.49 - 2.29)","1.15 (1.05 - 1.26)"
"11",1,9,0.8,0.8,0.8,0.5,0.4,0,0,0,1,1,"4.87 (3.92 - 5.86)","0.14 (0.05 - 0.25)","298 (265 - 326)","2031 (596 - 3683)","1.41 (0.65 - 2.78)","1.15 (1.05 - 1.27)"
"12",0.1,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"5.75 (4.91 - 6.62)","0.06 (-0.06 - 0.2)","166 (148 - 184)","874 (-881 - 2984)","0.1 (-0.34 - 0.25)","1.27 (1.15 - 1.38)"
"13",0.2,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"5.15 (4.35 - 6.22)","0.1 (-0.03 - 0.23)","296 (267 - 324)","1396 (-463 - 3260)","0.23 (-0.36 - 0.56)","1.22 (1.1 - 1.34)"
"14",0.3,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"4.65 (3.72 - 5.34)","0.17 (0.07 - 0.28)","394 (348 - 426)","2306 (908 - 4033)","0.38 (0.21 - 0.78)","1.14 (1.01 - 1.25)"
"15",0.4,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"4.15 (3.41 - 4.9)","0.21 (0.11 - 0.32)","470 (424 - 516)","2848 (1421 - 4726)","0.49 (0.28 - 0.98)","1.07 (0.97 - 1.18)"
"16",0.5,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"4.13 (3.3 - 4.91)","0.23 (0.11 - 0.33)","555 (499 - 600)","3304 (1360 - 4906)","0.52 (0.32 - 0.96)","1.06 (0.97 - 1.14)"
"17",0.6,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"3.82 (2.91 - 4.59)","0.26 (0.15 - 0.36)","622 (563 - 676)","3778 (1800 - 5236)","0.56 (0.38 - 1)","1.03 (0.93 - 1.12)"
"18",0.7,9,0.8,0.8,0.8,0,0,0.4,0.3,0,1,1,"3.46 (2.63 - 4.35)","0.28 (0.18 - 0.38)","681 (594 - 750)","3954 (2264 - 5771)","0.61 (0.38 - 1.06)","1 (0.88 - 1.12)"
